blank,active,,filtered_blank,filtered_active,,6s_average_time,6s_average_value
-1.45386,9.30026,,-1.460516248,9.299056318,,,
-1.4538,9.30087,,-1.46043028,9.299079534,,,
-1.45453,9.30072,,-1.460354757,9.299100532,,,
-1.45532,9.29931,,-1.460290312,9.299103213,,,
-1.4549,9.29834,,-1.460221316,9.299093444,,,
-1.45609,9.29809,,-1.460168435,9.2990806,,,
-1.45917,9.29626,,-1.460155655,9.299044496,,,
-1.461,9.29318,,-1.460166463,9.29896943,,,
-1.46298,9.2918,,-1.460202476,9.298877662,,,
-1.46582,9.29232,,-1.46027438,9.298793724,,,
-1.46817,9.29464,,-1.460375444,9.298740556,,,
-1.46732,9.29888,,-1.460464334,9.298742341,,,
-1.46768,9.30218,,-1.460556695,9.298786343,,,
-1.46716,9.30365,,-1.460641217,9.298848598,,,
-1.46503,9.30535,,-1.460697394,9.298931816,,,
-1.46161,9.30731,,-1.460709075,9.299039056,,,
-1.45953,9.31002,,-1.460693983,9.299179612,,,
-1.45685,9.31155,,-1.46064478,9.299337953,,,
-1.45248,9.31094,,-1.460540271,9.29948646,,,
-1.44983,9.31097,,-1.460403179,9.299633449,,,
-1.44904,9.31112,,-1.460257731,9.299780477,,,
-1.4476,9.31182,,-1.460095712,9.299934583,,,
-1.44794,9.31433,,-1.459940119,9.300118844,,,
-1.45123,9.31338,,-1.459828629,9.300288587,,,
-1.45541,9.30987,,-1.459772071,9.300411229,,,
-1.45905,9.30639,,-1.459762828,9.300487757,,,
-1.46417,9.30218,,-1.45981924,9.300509418,,,
-1.46869,9.29873,,-1.459932786,9.300486641,,,
-1.47015,9.29571,,-1.460063566,9.3004255,,,
-1.47031,9.2919,,-1.46019472,9.300316374,,,
-1.47199,9.28903,,-1.4603457,9.300171908,,,
-1.47174,9.28759,,-1.460491547,9.30001086,,,
-1.47043,9.28906,,-1.460618759,9.299870689,,,
-1.47018,9.29357,,-1.460741143,9.29979004,,,
-1.47086,9.29785,,-1.460870664,9.299765208,,,
-1.46976,9.3009,,-1.460984448,9.299779733,,,
-1.46896,9.30432,,-1.461086535,9.299837848,,,
-1.46857,9.30722,,-1.461182323,9.29993234,,,
-1.46622,9.31042,,-1.461246806,9.300066582,,,
-1.46216,9.3143,,-1.461258494,9.30024877,,,
-1.45956,9.31472,,-1.461236754,9.300434001,,,
-1.45648,9.31143,,-1.461175867,9.30057475,,,
-1.45245,9.30822,,-1.461064176,9.300672609,,,
-1.45087,9.30502,,-1.460933691,9.300728256,,,
-1.45218,9.30264,,-1.460821643,9.300752726,,,
-1.45404,9.30105,,-1.460734838,9.300756531,,,
-1.45648,9.29779,,-1.460680376,9.30071856,,,
-1.46121,9.29461,,-1.460687156,9.30064037,,,
-1.46567,9.29245,,-1.460750936,9.300535533,,,
-1.46771,9.29293,,-1.460840012,9.300438183,,,
-1.46942,9.29602,,-1.460949836,9.30038163,,,
-1.47028,9.29678,,-1.461069262,9.300335529,,,
-1.46832,9.29556,,-1.461162071,9.300274402,,,
-1.46515,9.29388,,-1.461213117,9.300192554,,,
-1.46259,9.29074,,-1.461230741,9.300071561,,,
-1.45941,9.28787,,-1.461207436,9.299915381,,,
-1.4549,9.28674,,-1.4611267,9.299746736,,,
-1.45282,9.28509,,-1.461020375,9.29955913,,,
-1.45224,9.28295,,-1.460907986,9.299346533,,,
-1.45126,9.28298,,-1.460784492,9.299137042,,,
-1.45178,9.28488,,-1.460669234,9.298954552,,,
-1.4545,9.28903,,-1.460590268,9.298827517,,,
-1.45761,9.29336,,-1.460552121,9.298757533,,,
-1.45844,9.29525,,-1.460525085,9.298712637,,,
-1.45981,9.29547,,-1.460515932,9.298671131,,,
-1.46051,9.2948,,-1.460515856,9.29862158,,,
-1.45795,9.29504,,-1.460483013,9.298575736,,,
-1.45499,9.2973,,-1.460412703,9.298559407,,,
-1.45322,9.29846,,-1.460320636,9.298558134,,,
-1.45157,9.29861,,-1.460208628,9.298558798,,,
-1.4494,9.29992,,-1.460070278,9.298576222,,,
-1.45026,9.30136,,-1.459944706,9.298611854,,,
-1.45252,9.30288,,-1.45984967,9.298666486,,,
-1.45401,9.306,,-1.459774922,9.298760355,,,
-1.45538,9.30719,,-1.459718667,9.298868255,,,
-1.45795,9.30737,,-1.459696028,9.298977077,,,
-1.45987,9.30682,,-1.459698255,9.299077466,,,
-1.46011,9.307,,-1.459703525,9.299178875,,,
-1.46191,9.30783,,-1.459731768,9.299289609,,,
-1.46509,9.30734,,-1.459800354,9.299392654,,,
-1.46634,9.3045,,-1.459884061,9.299458028,,,
-1.46802,9.30059,,-1.459988201,9.299472518,,,
-1.47009,9.29589,,-1.460117504,9.299426661,,,
-1.4693,9.29309,,-1.46023504,9.299345552,,,
-1.46646,9.29351,,-1.46031472,9.299270857,,,
-1.46466,9.29361,,-1.460370339,9.299198398,,,
-1.46314,9.29312,,-1.460405791,9.299120595,,,
-1.45972,9.2948,,-1.460397013,9.299065291,,,
-1.45706,9.29733,,-1.460354299,9.299043079,,,
-1.45654,9.30136,,-1.460305476,9.299072736,,,
-1.45514,9.30709,,-1.460239358,9.299175357,,,
-1.45407,9.31076,,-1.46016039,9.29932364,,,
-1.45529,9.31192,,-1.460098049,9.299484874,,,
-1.45654,9.31216,,-1.460052506,9.299647115,,,
-1.45667,9.31179,,-1.46000921,9.299802544,,,
-1.45752,9.31213,,-1.459977348,9.299960336,,,
-1.45892,9.30966,,-1.459963814,9.300084491,,,
-1.45932,9.3052,,-1.459955573,9.30014997,,,
-1.45972,9.30047,,-1.459952558,9.300154066,,,
-1.46112,9.29565,,-1.459967501,9.300096414,,,
-1.46146,9.29281,,-1.459986605,9.300003148,,,
-1.45984,9.29376,,-1.459984728,9.299923236,,,
-1.4588,9.2948,,-1.459969564,9.299857658,,,
-1.45837,9.29559,,-1.45994909,9.299803032,,,
-1.45581,9.29742,,-1.459896109,9.299772529,,,
-1.45303,9.29904,,-1.459808223,9.299763153,,,
-1.45209,9.30099,,-1.45970943,9.299778857,,,
-1.45117,9.30276,,-1.459600125,9.299817015,,,
-1.44894,9.30203,,-1.459463675,9.299845342,,,
-1.44846,9.29934,,-1.459322828,9.299838873,,,
-1.44992,9.29599,,-1.459202472,9.299789608,,,
-1.45029,9.29415,,-1.459088393,9.299717421,,,
-1.45062,9.29492,,-1.458979997,9.299656014,,,
-1.45343,9.29599,,-1.458908957,9.299609089,,,
-1.45581,9.2958,,-1.458869291,9.299560332,,,
-1.45648,9.29672,,-1.458838708,9.299523976,,,
